slug,title_en,year,hero,director,title_te
naku-pellam-kavali-1987,"Naku Pellam Kavali",1987,"Rajendra Prasad","Vijaya Bapineedu",
nazrana-1987,"Nazrana",1987,"Rajesh Khanna","Ravi Tandon",
padamati-sandhya-ragam-1987,"Padamati Sandhya Ragam",1987,"Thomas Jane","Jandhyala Subramanya Sastry",
pasivadi-pranam-1987,"Pasivadi Pranam",1987,"Chiranjeevi","A. Kodandarami Reddy",
prema-samrat-1987,"Prema Samrat",1987,"Kamal Haasan","K. Murali Mohan",
president-gari-abbayi-1987,"President Gari Abbayi",1987,"Balakrishna","T. Bhagyaraj",
pushpaka-vimanam-1987,"Pushpaka Vimanam",1987,"Kamal Haasan","Singeetam Srinivasa Rao",
sahasa-samrat-1987,"Sahasa Samrat",1987,"Nandamuri Balakrishna","A. Kodandarami Reddy",
samsaram-oka-chadarangam-1987,"Samsaram Oka Chadarangam",1987,"Sarath Babu","S.P. Muthuraman",
sankeertana-1987,"Sankeertana",1987,"Akkineni Nagarjuna","Geetha Krishna",
sardar-dharmanna-1987,"Sardar Dharmanna",1987,"Krishnam Raju","K. Vasu",
sardar-krishnama-naidu-1987,"Sardar Krishnama Naidu",1987,"Krishna","A. Kodandarami Reddy",
shankharavam-1987,"Shankharavam",1987,"Krishna","Krishna",
sri-kanakamalakshmi-recording-dance-troupe-1987,"Sri Kanakamalakshmi Recording Dance Troupe",1987,"Naresh","Vamsi",
